0.88236,0.20898
1.0913,0.44118
1.5325,0.30186
1.8344,0.32508
2.1595,0.41796
2.5774,0.20898
2.7864,0.41796
3.2044,0.3483
3.5527,0.20898
3.7616,0.25542
4.0171,0.30186
4.3189,0.2322
4.5511,0.44118
4.9923,0.20898
5.2013,0.2322
5.4335,0.2322
5.6657,0.2322
5.8979,0.16254
6.0604,0.30186
6.3623,0.18576
6.548,0.2322
6.7802,0.37152
7.1517,0.2322
7.3839,0.2322
7.6161,0.20898
7.8251,0.20898
8.0341,0.41796
8.4521,0.3483
8.8004,0.13932
8.9397,0.20898
9.1487,0.20898
9.3576,0.2322
9.5898,0.20898
9.7988,0.44118
10.24,0.32508
10.565,0.32508
10.89,0.25542
11.146,0.20898
11.355,0.2322
11.587,0.41796
12.005,0.2322
12.237,0.20898
12.446,0.2322
12.678,0.20898
12.887,0.2322
13.119,0.2322
13.351,0.41796
13.769,0.32508
14.095,0.30186
14.396,0.25542
14.652,0
